  S0     S1     E      O      M     CCS    YGC     YGCT    FGC    FGCT    CGC    CGCT     GCT   
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
  S0     S1     E      O      M     CCS    YGC     YGCT    FGC    FGCT    CGC    CGCT     GCT   
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
  S0     S1     E      O      M     CCS    YGC     YGCT    FGC    FGCT    CGC    CGCT     GCT   
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
  S0     S1     E      O      M     CCS    YGC     YGCT    FGC    FGCT    CGC    CGCT     GCT   
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
 78,54   0,00  97,78 100,00  24,05  20,16      3    0,666     3    2,772     -        -    3,438
